raw_label,canonical_activity,subtype,attributes,notes
Unique Elements,,,{},header/ignore
(20 min break),BREAK,,"{'planned': True, 'declared_duration_min': 20}",
Check Paperwork,CHECK_PAPERWORK,,{},
Check paperwork,CHECK_PAPERWORK,,{},
Check skids,CHECK_SKIDS,,{},
Close bay Door,CLOSE_BAY_DOOR,,{},
Close bay door,CLOSE_BAY_DOOR,,{},
Close bay door (chain),CLOSE_BAY_DOOR,,{'mechanism': 'chain'},
Drive,DRIVE,,{},
Drive ,DRIVE,,{},
Drive (lost line of sight),DRIVE,,{'occlusion': True},
Drive (move skid closer),DRIVE,,{'reason': 'move_skid_closer'},
Drive (start of video 18),DRIVE,,"{'marker': 'start_of_video', 'video_index': 18}",
Drive (to get paperwork),DRIVE,,{'reason': 'get_paperwork'},
Drive (view obstructed),DRIVE,,{'occlusion': True},
End,VIDEO_END,,{},
Grab Skid,GRAB_SKID,,{'quantity': None},
Grab Skid (from stack),GRAB_SKID,,"{'from_source': 'stack', 'quantity': 'stack'}",
Grab Skid (not in trailer),GRAB_SKID,,"{'location': 'not_trailer', 'quantity': None}",
Grab Skids (Not in trailer),GRAB_SKID,,"{'location': 'not_trailer', 'quantity': None}",
Grab Stack of skids (not in trailer),GRAB_SKID,,"{'location': 'not_trailer', 'quantity': 'stack'}",
Grab skid,GRAB_SKID,,{'quantity': None},
Grab skids (not from trailer),GRAB_SKID,,"{'location': 'trailer', 'quantity': None}",
Grab skids from trailer,GRAB_SKID,,{'quantity': None},
Grab totes,GRAB_TOTES,,{},
Load skid on trailer,LOAD_SKID_TRAILER,,{},
Open new bay door,OPEN_BAY_DOOR,,{},
Opening bay door,OPEN_BAY_DOOR,,{},
Place Skid,PLACE_SKID,,{},
Place Skid (stack),PLACE_SKID,,{'stack': True},
Prep (Forklift Checks),PREP_FORKLIFT_CHECKS,,{},
Rearrange Skids,REARRANGE_SKIDS,,{},
Rearrange Skids (start video 25),REARRANGE_SKIDS,,{},
Rearrange skids,REARRANGE_SKIDS,,{},
Wait (Talk),WAIT,,{'reason': 'talk'},
Wait (office),WAIT,,{'location': 'office'},
Wait (sit),WAIT,,{'posture': 'sit'},
Wait (talk),WAIT,,{'reason': 'talk'},
Wait (video #1),WAIT,,{'video_index': 1},
Wait (video #2),WAIT,,{'video_index': 2},
Wait sit,WAIT,,{},
Wait talk,WAIT,,{},
Wait talk/standing around,WAIT,,{},
Walk to close bay door,WALK,,{'target': 'door'},
check paperwork,CHECK_PAPERWORK,,{},
drive,DRIVE,,{},
end,VIDEO_END,,{},
grab 1 skid,GRAB_SKID,,{'quantity': 1},
grab Racks from trailer,GRAB_RACKS,,{},
grab skids (not from trailer),GRAB_SKID,,"{'location': 'trailer', 'quantity': None}",
grab skids from trailer,GRAB_SKID,,{'quantity': None},
grab totes from trailer,GRAB_TOTES,,{},
opening bay door,OPEN_BAY_DOOR,,{},
place Racks,PLACE_RACKS,,{},
place skid,PLACE_SKID,,{},
place skids,PLACE_SKID,,{},
place skids ,PLACE_SKID,,{},
place skids (Stack),PLACE_SKID,,{'stack': True},
place skids into trailer,PLACE_SKID,,{},
rearrange Skids,REARRANGE_SKIDS,,{},
rearrange skids,REARRANGE_SKIDS,,{},
remove rack from trailer,REMOVE_RACK_FROM_TRAILER,,{},
remove skid from stack,REMOVE_SKID_FROM_STACK,,{},
remove skid from trailer,REMOVE_SKID_FROM_TRAILER,,{},
remove skid from trailer (start video 23),REMOVE_SKID_FROM_TRAILER,,{},
remove skid from trailer (start video 24),REMOVE_SKID_FROM_TRAILER,,{},
remove skids from stack,REMOVE_SKID_FROM_STACK,,{},
restack skid,UNCLASSIFIED,,{},review
wait   drove to back of warehouse for nothing,WAIT,,"{'reason': 'misdispatch', 'nonproductive': True}",
wait (late from break),WAIT,,{'reason': 'late_from_break'},
wait (sit),WAIT,,{'posture': 'sit'},
wait (sit) (start of video 19),WAIT,,"{'posture': 'sit', 'marker': 'start_of_video', 'video_index': 19}",
wait (sit) (start of video 20),WAIT,,"{'posture': 'sit', 'marker': 'start_of_video', 'video_index': 20}",
wait (sit) (start of video 21),WAIT,,"{'posture': 'sit', 'marker': 'start_of_video', 'video_index': 21}",
wait (sit) (start of video 22),WAIT,,"{'posture': 'sit', 'marker': 'start_of_video', 'video_index': 22}",
wait (sit) (start video 26),WAIT,,{'posture': 'sit'},
wait (sit) (start video 27),WAIT,,{'posture': 'sit'},
wait (sit) (start video 28),WAIT,,{'posture': 'sit'},
wait (sit/park),WAIT,,"{'posture': 'sit', 'status': 'parked'}",
wait (sit/park) (video 17),WAIT,,"{'posture': 'sit', 'status': 'parked'}",
wait (sit/talk),WAIT,,"{'posture': 'sit', 'reason': 'talk'}",
wait (sitting),WAIT,,{'posture': 'sit'},
wait (standing/talking),WAIT,,"{'reason': 'talk', 'posture': 'stand'}",
wait (talk),WAIT,,{'reason': 'talk'},
wait Talk,WAIT,,{},
wait parked/sit/talk,WAIT,,{},
wait talk/sit,WAIT,,{},
walk to forklift,WALK,,{'target': 'forklift'},
walking back to lift,WALK,,{'target': 'forklift'},
Unique Activities,,,{},header/ignore
Drive,DRIVE,,{},
Full,,,{},category_reference
Prep/Repack,PREP_FORKLIFT_CHECKS,,{},
Unique,,,{},category_reference
Wait,WAIT,,{},
Waste,,,{},category_reference
